ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
"AYUSH/140(110G+30G)/GM/CDB/TOTAL ORAL CARE CAVITY PROTECTION, HEALTHY GUMS & REDUCES PLAQUE WITH CLOVE OIL & DASANAKANTHI CHOORNAM/SAVE RS.50/=",LEVER AYUSH,UNILEVER SRI LANKA LTD,CDB,140GM(110G×30G),,LEVER AYUSH,UNILEVER LIPTON CEYLON LTD,CDBOX,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PELWATTE/200/GM/PLPCH/FULL CREAM ,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH ,200GM,,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
VOLIN/80/GM/CDB/WHITE BEAUTY WITH NATURAL MOISTURIZER/SAVE RS.35/=,VOLIN ,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),CDB,80GM ,,,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
MAYA/325/ML/PBT/SOY SAUCE ,MAYA,JANRICH FOODS LTD,PBT,325ML,,MAYA,JANRICH FOODS LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
CHERISH KIT-O/310/GM/PLPCH/STRAWBERRY CREAM ,CHERISH KIT-O,CHERISH BISCUIT (PVT) LTD,PLPCH ,310GM,,CHERISH SHORTCAKE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PRABODHI/60/GM/PLPCH/CUTTLEFISH FLAVOUR ,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.8903955989740013
MAGGI/75/GM/PLPCH/PAPARE BLAST,MAGGI HOT,NESTLE LANKA,PLPCH ,75GM ,,MAGGI HOT,NESTLE LANKA,PLPCH,75GM,| Target Itemdesc not found,MAGGI PAPARE KOTTU 75 GM PLPCH,0.9142391446039151
KHOMBA/350(70G×5)/GM/CDB/ORIGINAL HERBAL CARE 5 IN 1 VALUE PACK/SAVE RS.50/=/FREE/KHOMBA/70/GM/CDB/CLEAR WITH LIME & CUCUMBER HERBAL BAR,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,CDB,350GM(70G×5),,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,CDBOX,,| Target Packsize or UOM not found| Target Itemdesc not found,,
PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR ,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH ,60GM ,,PRABODHI,PRABODHI FOOD PRODUCTS,PLPCH,60GM,| Target Itemdesc not found,PRABODHI CHICKEN FLAVOUR 60 GM,0.9331358443607063
