ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
SENSODYNE SOFT 1 NO SAVE 95/=,SENSODYNE,SMITHKLINE BEECHAM (PVT) LTD,BRUSH,1 NO,,,,,,Target Company not found| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
IDEA TEA/ PLPCH/ 100GM,IDEA TEA,IDEA AFFIX MARKETING ,PLPCH,100GM,,,DAINTEE MARKETING,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
IDEA TEA /PLPCH /50GM ,IDEA TEA,IDEA AFFIX MARKETING ,PLPCH,50GM,,,DAINTEE MARKETING,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80 ML,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML PLBOT + WITH FREE VASELINE DEEP RESTORE 6 ML POUCH PACK,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.9645775727824842
FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,FREELAN,FREELAN ENTERPRISES,PLPCH,70 GM,FREELAN MALDIVE FISH FLAVOUR 70 GM,FREELAN,FREELAN ENTERPRISES,PLPCH,70.00 GM,,EMF,0.9636385440607331
SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80 ML,SUNSILK STUNNING BLACK SHINE-GO SHINE-WITH AMLA OIL PEARL PROTEIN & VITAMIN E ACTIVE MIX SHAMPOO 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN SOAP 100 GM EWRPK,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.9609274981274352
PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,400 GM ,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,400.00 GM,,EMF,0.978378481019912
SUGANDHI/PURE CEYLON TEA/PLPCH,SUGANDHI,SUGANDHI DISTRIBUTORS,PLPCH,100 GM,SUGANDHI PURE CEYLON TEA 100 GM PLPCH,SUGANDHI,SUGANDHI DISTRIBUTORS,PLPCH,100.00 GM,,EMF,1.0000000000000002
KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,GBT ,30ML,,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,GBT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
