ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
SENSODYNE SOFT 1 NO SAVE 95/=,SENSODYNE,SMITHKLINE BEECHAM (PVT) LTD,BRUSH,1 NO,,,,,,Target Company not found| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
IDEA TEA/ PLPCH/ 100GM,IDEA TEA,IDEA AFFIX MARKETING ,PLPCH,100GM,,,DAINTEE MARKETING,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
IDEA TEA /PLPCH /50GM ,IDEA TEA,IDEA AFFIX MARKETING ,PLPCH,50GM,,,DAINTEE MARKETING,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML FREE LIFEBIOY GLOWING SIKN SAKURA AND PINK CLAY 75 GM ,SUNSILK,j,PLBOT,80 ML,SUNSILK NOURISHING SOFT & SMOOTH SHAMPOO WITH EGG PROTEIN 80 ML PLBOT + WITH FREE VASELINE DEEP RESTORE 6 ML POUCH PACK,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.9645775727824842
FREELAN MALDIVE FISH FLAVOUR 70 GM SAVE 10/=,FREELAN,FREELAN ENTERPRISES,PLPCH,70 GM,FREELAN MALDIVE FISH FLAVOUR 70 GM,FREELAN,FREELAN ENTERPRISES,PLPCH,70.00 GM,,EMF,0.9636385440607331
SUNSILK STUNNING BLACK SHINE AMLA EXTRACT SHAMPOO 80 ML FREE LIFEBUOY MILD CARE 75 GM,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80 ML,SUNSILK STUNNING BLACK SHINE-GO SHINE-WITH AMLA OIL PEARL PROTEIN & VITAMIN E ACTIVE MIX SHAMPOO 80 ML PLBOT + FREE LIFEBUOY MILD CARE WITH MILK PROTEIN SOAP 100 GM EWRPK,SUNSILK,UNILEVER SRI LANKA LTD,PLBOT,80.00 ML,,EMF,0.9609274981274352
PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH SAVE 50/=,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,400 GM ,PELWATTE FULL CREAM MILK POWDER 400 GM PLPCH + SAVE RS 50,PELWATTE,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,400.00 GM,,EMF,0.978378481019912
SUGANDHI/PURE CEYLON TEA/PLPCH,SUGANDHI,SUGANDHI DISTRIBUTORS,PLPCH,100 GM,SUGANDHI PURE CEYLON TEA 100 GM PLPCH,SUGANDHI,SUGANDHI DISTRIBUTORS,PLPCH,100.00 GM,,EMF,1.0000000000000002
KHOMBA BABY/  FLORAL BABY COLOGNE KHOMBA WHITH RATHMAL AND ROSE WATER /30 ML /GBT ,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,GBT ,30ML,,KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,GBT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
REDC0OW / 18 / GM / PLPCH  / SUGAR ADDED MILK MIX ,RED COW,FONTERRA BRANDS LANKA (PVT)LTD,PLPCH ,18 GM,,RED COW,FONTERRA BRANDS LANKA (PVT)LTD,PLPCH,18GM,| Target Itemdesc not found,RED COW - SUGAR ADDED MILK MIX 18 GM PLPCH,0.9486443225292989
CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI-DANDRUFF SHAMPOO ,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,PBT,180ML ,CHANDANALEPA GOTUKOLA ANTI DANDRUFF SHAMPOO 180 ML PLBOT,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,PLBOT,180.00 ML,,EMF,0.9869320413632454
CLOREX/250/ML/PBT/ORIGINAL WHITE & WHITE ,CLOREX,KANDASAMI ENTERPRISES,PBT,250ML ,,,KANDASAMI ENTERPRISES,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
SHELLO/1000/ML/PBT/HERBAL SHAMPOO ,SHELLO,SHELLO COSMETICS CO (PVT)LTD,PBT,1000ML ,,SHELLO,SHELLO COSMETICS CO (PVT)LTD,PBT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SENSODYNE\1\NO\SENSITIVE SOFT\SAVE RS 95,SENSODYNE,SMITHKLINE BEECHAM (PVT)LTD,NO,1,,,,,,Target Company not found| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
RENUKA\400\ML\TIN\REAL THICK COCONUT MILK\SHAW WALLACE CEYLON LTD,RENUKA THICK COCONUT MILK,SHAW WALLACE CEYLON LTD,TIN,400ML,,RENUKA COCONUT MILK,SHAW WALLACE CEYLON LTD,TIN,400ML,| Target Itemdesc not found,RENUKA REAL THICK COCONUT MILK 400 ML TIN,0.8698569912861149
AYUSH/GLOWING/RADIANCE/SANDALWOOD/KUMKUMADI TAILAM/AND/SAFFRON/70 GM/CDBOX,LEVER AYUSH,UNILEVER SRI LANKA LTD,CDBOX,70 GM,AYUSH GLOWING RADIANCE SOAP WITH SANDALWOOD KUMKUMADI TAILAM AND SAFFRON 70 GM CDBOX,LEVER AYUSH,UNILEVER SRI LANKA LTD,CDBOX,70.00 GM,,EMF,0.9665920122006172
AYUSH/PURIFYING/WELLNESS/KOHOMBA/ PANCHAVALKADI/TAILAM AND MINT/70 GM/CDBOX,LEVER AYUSH,UNILEVER SRI LANKA LTD,CDBOX,70 GM,AYUSH PURIFYING WELLNESS SOAP WITH KOHOMBA PANCHAVALKADI TAILAM AND MINT 70 GM CDBOX,LEVER AYUSH,UNILEVER SRI LANKA LTD,CDBOX,70.00 GM,,EMF,0.9798579730037138
FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,FEMS,HEMAS MARKETING,PLPCH ,10 NO,,FEMS,HEMAS MARKETING,SACHET,,| Target Packsize or UOM not found| Target Itemdesc not found,,
FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,FEMS,HEMAS MARKETING,PLPCH ,10 NO,,FEMS,HEMAS MARKETING,SACHET,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LIFEBUOY /TOTAL 10 /WITH PURE OLIVE OIL AND HONEY/ FOR MOISTURISED SOFT SKIN /SOAP/ 200/ GM /(100*2) /+/ SAVE /RS/ 50,LIFEBUOY,UNILEVER SRI LANKA LTD,PLPCH,200 GM,,LIFEBUOY,UNILEVER SRI LANKA LTD,PLPCH,200GM,| Target Itemdesc not found,LIFEBUOY TOTAL 10 PURE OLIVE OIL 200 GM + SAVE RS. 16,0.9378535103179416
SUNLIGHT /WITH REAL LEMON/ EWRPK/ 200/ GM/ (100*2)/ + /SAVE/ RS/ 80,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,200 GM,,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,200GM,| Target Itemdesc not found,SUNLIGHT WITH REAL LEMON POWER LAUNDRY BAR (100*2) 200 GM EWRPK,0.911338684932224
NEW/ NOORI /PURE CEYLON TEA / 40 /GM/ PLPCH,NOORI KAHATA,NEW NOORI PACKETTING TEA FACTORY,PLPCH,40 GM,,NOORI,NEW NOORI PACKETTING TEA FACTORY,PLPCH,40GM,| Target Itemdesc not found,NOORI KAHATA PURE CEYLON TEA 40 GM PLPCH,0.9490918731161287
SWADESHI/ KHOMBA/ LEMONGRASS/ FOR A PLAYFUL CITRUSY SENSATION/ 67 /GM/EWRPK ,SWADESHI KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,EWRPK,67 GM,,,SWADESHI INDUSTRIAL WORKS LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
AYUSH/15G/CD BOX/NATURAL GLOW & PROTECT FACE CREAM,AYUSH ,UNILEVER SRI LANKA LTD,CD BOX,15G,,,UNILEVER SRI LANKA LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
KHOMBA BABY/100/ML/PBT/FLORAL KOHOMBA & ROSE WATER,KHOMBA BABY,SWADESHI INDUSTRIAL WORKS LTD,PBT,100ML,,KHOMBA BABY,SWADESHI INDUSTRIAL WORKS LTD,EWRPK,,| Target Packsize or UOM not found| Target Itemdesc not found,,
