ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL &TURMERIC BABY CREAM ,PEARS BABY,UNILEVER SRI LANKA LTD,PBT,100ML ,,PEARS BABY,UNILEVER SRI LANKA LTD,PLBOT,100ML,| Target Itemdesc not found,PEARS BABY 100 ML PLBOT VENIVEL & TURMERIC BABY CREAM + SAVE RS 20,0.9325971013892516
"PEARS/100/ML/CDB/BEDTIME BABY COLOGNE REFRESHED SKIN,  IRRESISTIBLE BABY FRAGRANCE/FREE/PEARS/50/ML/PBT/BEDTIME BABY CREAM WITH MOISTURE CREAM ",PANDA BABY,NATURE'S BEAUTY CREATIONS LTD,PBT,100ML ,,PANDA BABY,NATURE'S BEAUTY CREATIONS LTD,PLBOT,100ML,| Target Itemdesc not found,NATURES SECRETS PANDA BABY CREAM OLIVE OIL 100 ML + FREE P.B SUMUDU BABY SOAP 75 GM ALMOND & OLIVE OIL,0.8980378378639818
RANI/65/GM/CDB/SANDALWOOD WITH LAVENDER ,RANI,SWADESHI INDUSTRIAL WORKS LTD,CDB,65GM ,,RANI,SWADESHI INDUSTRIAL WORKS LTD,CDBOX,65GM,| Target Itemdesc not found,RANI SANDALWOOD WITH JASMINE & VITAMIN E 65 GM CDBOX,0.9383688954711771
PRIMA/114/GM/PLPCH/KOTTU MEE/KOREAN RAMEN/FIERY CHEESE/INSTANT NOODLES ,PRIMA KOTTUMEE,CEYLON AGRO INDUSTRIES,PLPCH,114 GM,,PRIMA KOTTUMEE,CEYLON AGRO INDUSTRIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SOLA/500/ML/PLBOT/3 IN 1 LEMON & LIME FRESH TOILET CLEANER ,SOLA,SOLA CHEMICAL CO (PVT) LTD,PLBOT ,500ML,,SOLA,SOLA CHEMICAL CO (PVT) LTD,PLBOT,500ML,| Target Itemdesc not found,SOLA 3 IN 1 DISHWASH WITH TRICLOSAN 500 ML PLBOT,0.889972197124459
SACHIE/360/GM/PLPCH/CHOCOLATE MARIE BISCUITS ,SACHIE CHOCOLATE MARIE,SACHIE BISCUITS (PVT) LTD,PLPCH ,360GM,,SACHIE CHOCOLATE CREAM,SACHIE BISCUITS (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SACHIE/360/GM/PLPCH/MEGA MARIE BISCUITS ,SACHIE MEGA MARIE,SACHIE BISCUITS (PVT) LTD,PLPCH ,360GM,,SACHIE BUDDY MARIE,HANSINI DISTRIBUTER (PVT) LTD,PLPCH,360GM,| Target Itemdesc not found,SACHIE BUDDY MARI BISCUITS 360 GM PLPCH,0.8563246078212673
KIST/110/GM/PLPCH/TOMATO SAUCE BUDDY ,KIST,CARGILLS AGRIFOODS LTD,PLPCH ,110GM,,KIST,CARGILLS AGRIFOODS LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SENSODYNE\75\GM\CDBOX\FRESH MINT WITH MINT FLOVOUR\SAVE RS 120,SENSODYNE,SMITH KLINE BEECHAM (PVT) LTD,CDBOX,75GM,,,MALINDU DAIRY (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
PUBUDU\500\GM\PLTUB\SET YOGHURT,PUBUDU,PUBUDU MILK PRODUCTS,PLTUB,500GM,,PUBUDU,PUBUDU MILK PRODUCTS,PLTUB,,| Target Packsize or UOM not found| Target Itemdesc not found,,
