ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
LIFEBUOY HEALTH SHAMPOO HERBAL SHAMPOO WITH HERBAL EXTRACTS/175ML/PLBOT + SAVE RS.50,LIFEBUOY,UNILEVER SRI LANKA LTD,PLBOT,175ML,LIFEBUOY STRONG & THICK HEALTH SHAMPOO WITH MILK PROTEIN & ALMOND OIL 175 ML PLBOT + SAVE RS 80,LIFEBUOY,UNILEVER SRI LANKA LTD,PLBOT,175.00 ML,,EMF,0.9614180095277478
CHANDANALEPA KOHOMBA AYURVEDA SOAP/75GM/CDBOX,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.9353875822258431
CHANDANALEPA VENIVEL AYURVEDA SOAP/75GM/CDBOX,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.9373796628804127
ELEPANT HOUSES VEGAN FROZEN DESSERT PASSION FEELGOOD RANGE 320ML ,ELEPHANT HOUSE ,CEYLON COLD STORES,CUP,320ML,,ELEPHANT HOUSE,CEYLON COLD STORES,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
MISUMI KIYO BEAUTY SOAP/65/GM/CD BOX,MISUMI,NATURE'S BEAUTY CREATIONS LTD,CD BOX,65GM,,MISUMI,NATURE'S BEAUTY CREATIONS LTD,CDBOX,65GM,| Target Itemdesc not found,MISUMI ROMANSU BEAUTY SOAP 65 GM CDBOX,0.9169691124425448
SAPUMAL DETERGENT SOPE 150 GM,SAPUMAL,UDAKANDA INDUSTRIES,EWRPK,150 GM,,,KANDYAN INDUSTRIES,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
POND'S/23/GM/CDBOX/BRIGHT BEAUTY SERUM CREAM NINCINAMIDE 98% PURE VITAMIN B3 ANTI-SPOT FORMULA/SAVE RS 90,POND'S,UNILEVER SRI LANKA LTD,CDBOX ,23GM,,POND'S,UNILEVER SRI LANKA LTD,CDBOX,23GM,| Target Itemdesc not found,POND'S (USL)BRIGHT BEAUTY SPOT-LESS GLOW SERUM CREAM 23 GM CDBOX + SAVE RS 136,0.9484680423602122
HARPIC/500/ML/PLBOT/POWER PLUS 10X ORIGINAL/SAVE RS 50,HARPIC,RECKITT BENCKISER (LANKA) LTD,PLBOT ,500ML,,HARPIC,RECKITT BENCKISER (LANKA) LTD,PLBOT,500ML,| Target Itemdesc not found,HARPIC POWER PLUS 10/10 STAIN REMOVAL ORIGINAL 500 ML PLBOT + SAVE RS 81,0.9194690863626686
MAGGI/75/G/PLPCH/ PAPAER BLAST  INSTANT NOODLES ,MAGGI,NESTLE LANKA,PLPCH ,75G,,MAGGI,NESTLE LANKA,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
MALIBAN/490/G/PLPCH/CREAM CRACKER SAVE 60,MALIBAN ,MALIBAN BISCUIT MANUFACTORIES,PLPCH ,490G,,MALIBAN GEM,MALIBAN BISCUIT MANUFACTORIES,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
