ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,FEMS,HEMAS MARKETING,PLPCH ,10 NO,,FEMS,HEMAS MARKETING,SACHET,,| Target Packsize or UOM not found| Target Itemdesc not found,,
FEMS/10/NO/PLPCH/COTTON FEEL 3X PROTECTION ,FEMS,HEMAS MARKETING,PLPCH ,10 NO,,FEMS,HEMAS MARKETING,SACHET,,| Target Packsize or UOM not found| Target Itemdesc not found,,
LIFEBUOY /TOTAL 10 /WITH PURE OLIVE OIL AND HONEY/ FOR MOISTURISED SOFT SKIN /SOAP/ 200/ GM /(100*2) /+/ SAVE /RS/ 50,LIFEBUOY,UNILEVER SRI LANKA LTD,PLPCH,200 GM,,LIFEBUOY,UNILEVER SRI LANKA LTD,PLPCH,200GM,| Target Itemdesc not found,LIFEBUOY TOTAL 10 PURE OLIVE OIL 200 GM + SAVE RS. 16,0.9378535103179416
SUNLIGHT /WITH REAL LEMON/ EWRPK/ 200/ GM/ (100*2)/ + /SAVE/ RS/ 80,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,200 GM,,SUNLIGHT,UNILEVER SRI LANKA LTD,EWRPK,200GM,| Target Itemdesc not found,SUNLIGHT WITH REAL LEMON POWER LAUNDRY BAR (100*2) 200 GM EWRPK,0.911338684932224
NEW/ NOORI /PURE CEYLON TEA / 40 /GM/ PLPCH,NOORI KAHATA,NEW NOORI PACKETTING TEA FACTORY,PLPCH,40 GM,,NOORI,NEW NOORI PACKETTING TEA FACTORY,PLPCH,40GM,| Target Itemdesc not found,NOORI KAHATA PURE CEYLON TEA 40 GM PLPCH,0.9490918731161287
SWADESHI/ KHOMBA/ LEMONGRASS/ FOR A PLAYFUL CITRUSY SENSATION/ 67 /GM/EWRPK ,SWADESHI KHOMBA,SWADESHI INDUSTRIAL WORKS LTD,EWRPK,67 GM,,,SWADESHI INDUSTRIAL WORKS LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
AYUSH/15G/CD BOX/NATURAL GLOW & PROTECT FACE CREAM,AYUSH ,UNILEVER SRI LANKA LTD,CD BOX,15G,,,UNILEVER SRI LANKA LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
KHOMBA BABY/100/ML/PBT/FLORAL KOHOMBA & ROSE WATER,KHOMBA BABY,SWADESHI INDUSTRIAL WORKS LTD,PBT,100ML,,KHOMBA BABY,SWADESHI INDUSTRIAL WORKS LTD,EWRPK,,| Target Packsize or UOM not found| Target Itemdesc not found,,
CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI DANDRUFF SHAMPOO ,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,PBT,180ML,CHANDANALEPA GOTUKOLA ANTI DANDRUFF SHAMPOO 180 ML PLBOT,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,PLBOT,180.00 ML,,EMF,0.9869320413632454
AYUSH/25G/CD BOX/ANTI MARK & OIL CONTROL FACE CREAM,AYUSH ,UNILEVER SRI LANKA LTD,CD BOX,25G,,,UNILEVER SRI LANKA LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
