ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
WIJAYA / 85 / GM/ EWRPK  / SEA FOOD ,WIJAYA ,WIJAYA PRODUCTS (PVT) LTD,EWRPK ,85 GM ,,WIJAYA,PELWATTE DAIRY INDUSTRIES (PVT) LTD,PLPCH,85GM,| Target Itemdesc not found,WIJAYA SEA FOOD INSTANT NOODLES 85 GM PLPCH,0.9238809218827646
LUX/ 1OO / GM  /EWRPK  /SANDAL & CREAM / SAVE 10,LUX ,UNILEVER SRI LANKA LTD,EWRPK ,100 GM,,LUX,UNILEVER SRI LANKA LTD,EWRPK,100GM,| Target Itemdesc not found,NEW LUX BOTANICALS HONEY & LOTUS EWRPK 100 GM + SAVE RS 10,0.8969665098619832
LUX / 100 / GM / EWRPK  / BRIGHT GLOW  /SAVE 10,LUX,UNILEVER SRI LANKA LTD,EWRPK ,100 GM ,,LUX,UNILEVER SRI LANKA LTD,EWRPK,100GM,| Target Itemdesc not found,LUX BRIGHT GLOW ROSE & VIT C + E 100 GM EWRPK + SAVE RS 25,0.9361651996742232
RAN KAHATA TEA /50GM/PLPCH/+ SAVE RS 10,RAN KAHATA,SUNSHINE COUNSUMER LANKA LTD,PLPCH,50GM,RAN KAHATA TEA 50 GM PLPCH + SAVE RS 25,RAN KAHATA,SUNSHINE COUNSUMER LANKA LTD,PLPCH,50.00 GM,,EMF,0.9767217696988042
PEARS/50/ML/PBT/100% NATURAL EXTRACTS RATHMAL BABY CREAM ,PEARS ,UNILEVER SRI LANKA LTD,PBT,50ML,,,UNILEVER SRI LANKA LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
CLEAR/180/ML/PBT/MEN ANTI-DANDRUFF SHAMPOO DEEP CLEANSE + SAVE AS 60 RS,CLEAR,UNILEVER SRI LANKA LTD,PBT,180ML,CLEAR MEN ANTI DANDRUFF DEEP CLEANSE PLBOT 180 ML + SAVE RS 45,CLEAR,UNILEVER SRI LANKA LTD,PLBOT,180.00 ML,,EMF,0.9681989734089573
PEARS/100/ML/PBT/100% NATURAL EXTRACTS KOKUM BABY CREAM,PEARS ,UNILEVER SRI LANKA LTD,PBT,100ML,,,UNILEVER SRI LANKA LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
CHANDANALEPA/75/GM/CDBOX/VENIVEL AYURVEDA SOAP,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA AYURVEDA SOAP 75 GM CDBOX,0.928781487014825
CHANDANALEPA/75/GM/CDBOX/KOHOMBA AYURVEDA SOAP,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,,CHANDANALEPA,SANJEEWAKA AYURVEDIC PRODUCTS,CDBOX,75GM,| Target Itemdesc not found,CHANDANALEPA CINNAMON AYURVEDA SOAP 75 GM CDBOX,0.9219197399863772
CLEAR/180/ML/PBT/ ANTI-DANDRUFF SCALP CARE  SHAMPOO ICE COOL MENTHOL + FREE TOOTHPASTE/AYUSH/70/GM/CDBOX/TOTAL ORAL CARE,CLEAR,UNILEVER SRI LANKA LTD,CDBOX,180ML,CLEAR ANTI DANDRUFF SCALP CARE ICE COOL MENTHOL SHAMPOO 180 ML PLBOT + SAVE RS 60,CLEAR,UNILEVER SRI LANKA LTD,PLBOT,180.00 ML,,EMF,0.9620448523318825
