ITEMDESC,Brand,Company,Packtype,Packsize,Matched_ITEMDESC,Matched_BRAND,Matched_MANUFACTURE,Matched_PACKTYPE,Matched_PACKSIZE,Reason,Suggestion,Score
PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA.,PARACHUTE NATURAL,A.BAUR & CO.PVT LTD,PBT,180ML,,,A.BAUR & CO. (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
PARACHUTE NATURAL/180/ML/PBT/NOURISHING CARE SHAMPOO COCONUT & MUKUNUWENNA,PARACHUTE NATURAL,A.BAUR & CO.PVT LTD,PBT,180ML,,,A.BAUR & CO. (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
VASELINE/200/ML/HEALTHY BRIGHT IN 2 WEEKS SERUM IN LOTION SAVE RS 265,VASELINE,UNILEVER SRI LANKA LTD,PBT,200ML,VASELINE (USL) HEALTHY BRIGHT IN 2 WEEKS NIACINAMIDE-VITAMIN B3 SERUM IN BODY LOTION 200 ML PLBOT,VASELINE,UNILEVER SRI LANKA LTD,PLBOT,200.00 ML,,EMF,0.9637128615305084
PARACHUTE NATURAL/180/ML/PBT/HAIRFALL CONTROL SHAMPOO COCONUT & GOTUKOLA,PARACHUTE NATURAL,HARUMI HOLDINGS (PVT) LTD,PBT,180ML,,,HARUMI HOLDINGS (PVT) LTD,,,| Target Brand not found| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
MAGGI/75/GM/PLPCH/PAPARE BLAST,MAGGI,NESTLE LANKA,PLPCH ,75GM,,MAGGI,NESTLE LANKA,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
SUN RICH/315/G/PLPCH/MILK CRUNCH,SUN RICH MILK CRUNCH,SUNRICH CONFECTIONERY (PVT) LTD,PLPCH,315G,,SUN RICH MILK CRUNCH,SUNRICH CONFECTIONERY (PVT) LTD,PLPCH,,| Target Packsize or UOM not found| Target Itemdesc not found,,
CHUPA CHUPS\14\GM\PLPCH\PAPER STICK COLA FLAVOUR BUBBLE GUM FILLED LOLLIPOP,CHUPA CHUPS,PERFETTI VAN MELLE LANKA (PVT) LTD,PLPCH,14GM,,CHUPA CHUPS,PERFETTI VAN MELLE LANKA (PVT) LTD,,,| Target Packtype not found| Target Packsize or UOM not found| Target Itemdesc not found,,
DASH\100\ML\PBT\MAGIC SOFT FLORAL FRESH AFTER WASH FABRIC CONDITIONER,DASH,MULTICHEMI INTERNATIONAL LTD,PBT,100ML,,DASH,MULTICHEMI INTERNATIONAL LTD,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
DASH\100\ML\PBT\MAGIC SOFT AQUA FRESH AFTER WASH FABRIC CONDITIONER,DASH,MULTICHEMI INTERNATIONAL LTD,PBT,100ML,,DASH,MULTICHEMI INTERNATIONAL LTD,PLBOT,,| Target Packsize or UOM not found| Target Itemdesc not found,,
