PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE,Status,Master IC,,,
202410,1,8157780,43201010007,1730192814807,13,UNILEVER SRI LANKA LTD,LUXSOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,LUX / 100 / GM  / EWRPK  / SOFT & GLOW JASMINE  & VITAMIN E  /SAVE / 10,165,100 GM,,,1730192814807-unilever sri lanka ltd-luxsoft - glow jasmine  - vitamin e  -save - 10#3.png,-,,,,
202410,1,8154537,14568010001,1730359678186,39,ASEAN HARDWARE PTE LTD,ALDEGO,ALDEGO/3/GM/SUPER GLUE ,0,3GM,,Delete the Item,1730359678186-asean hardware pte ltd-aldego#3.png,-,,,,
202410,1,8154537,14568010001,1730356822713,26,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,CHANDANALEPA/180/ML/PBT/GOTUKOLA ANTI-DANDRUFF SHAMPOO ,680,180ML ,PBT,,1730356822713-sanjeewaka ayurvedic products-chandanalepa#3.png,-,,,,
202410,1,8154537,14568010001,1730354672612,21,KANDASAMI ENTERPRISES,CLOREX,CLOREX/250/ML/PBT/ORIGINAL WHITE & WHITE ,200,250ML ,PBT,,1730354672612-kandasami enterprises-clorex#3.png,-,,,,
202410,1,8154537,14568010001,1730353791723,26,SHELLO COSMETICS CO (PVT)LTD,SHELLO,SHELLO/1000/ML/PBT/HERBAL SHAMPOO ,1150,1000ML ,PBT,,1730353791723-shello cosmetics co -pvt-ltd-shello#3.png,-,,,,
202410,1,59506511,13668010001,1730372930202,14,SMITHKLINE BEECHAM (PVT)LTD,SENSODYNE,SENSODYNE\1\NO\SENSITIVE SOFT\SAVE RS 95,195,1,NO,,1730372930202-smithkline beecham -pvt-ltd-sensodyne#3.png,-,,,,
202410,1,59506511,13668010001,1730250870300,45,SHAW WALLACE CEYLON LTD,RENUKA THICK COCONUT MILK,RENUKA\400\ML\TIN\REAL THICK COCONUT MILK\SHAW WALLACE CEYLON LTD,230,400ML,TIN,,1730372930202-smithkline beecham -pvt-ltd-sensodyne#3.png,-,,,,
202410,1,125882423,61402010006,1730096294913,13,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/GLOWING/RADIANCE/SANDALWOOD/KUMKUMADI TAILAM/AND/SAFFRON/70 GM/CDBOX,125,70 GM,CDBOX,,1730096294913-unilever sri lanka ltd-lever ayush#3.png,-,,,,
202410,1,125882423,61402010006,1730093496414,13,UNILEVER SRI LANKA LTD,LEVER AYUSH,AYUSH/PURIFYING/WELLNESS/KOHOMBA/ PANCHAVALKADI/TAILAM AND MINT/70 GM/CDBOX,125,70 GM,CDBOX,,1730093496414-unilever sri lanka ltd-lever ayush#3.png,-,,,,
202410,1,242520,12103010039,1729049415324,25,HEMAS MARKETING,FEMS,FEMS/10/NO/PLPCH/DRYTEX WINGS 3X PROTECTION ,270,10 NO,PLPCH ,,1730093496414-unilever sri lanka ltd-lever ayush#3.png,-,,,,
