PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202412,1,131556658,19271010002,1735108433319,6,MALIBAN BISCUIT MANUFACTORIES,"MALIBAN  ",MALIBAN /GEM/ BISCUIT /90GM /PLPCH,120,90GM,PLPCH,,1735108433319-maliban biscuit manufactories-maliban  #3.png
202412,1,111681269,31201010003,1735575538476,10,CONVENIENCE FOODS (LANKA) PLC,LANKA SOY,LANKA SOY/80/GM/PLPCH/SRI LANKAN MANGO CURRY TASTE,160,"80GM ","PLPCH ",,1735575538476-convenience foods -lanka- plc-lanka soy#3.png
202412,1,111681269,31201010003,1735536147786,30,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/100/ML/PBT/GALAXY STAR BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL & TURMERIC BABY CREAM ",500,"100ML ",PBT,,1735536147786-unilever sri lanka ltd-pears baby#3.png
202412,1,111681269,31201010003,1735573941039,43,JANRICH FOODS LTD,MAYA,"MAYA/1/KG/PLCAN/TOMATO SAUCE ",590,1KG,PLCAN,,1735573941039-janrich foods ltd-maya#3.png
202412,1,111681269,31201010003,1735558220121,17,WONRICH DAIRY PVT LTD,WONRICH,WONRICH/80/GM/PLCUP/STRAWBERRY FLAVOURED JELLY MIX,80,"80GM ","PLCUP ",,1735573941039-janrich foods ltd-maya#3.png
202412,1,111681269,31201010003,1734249298274,19,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/50/ML/PBT/RATHMAL BABY CREAM FOR SOOTHING SKIN ",180,50ML,PBT,,1735573941039-janrich foods ltd-maya#3.png
202412,1,111681269,31201010003,1735536842489,19,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/100/ML/PBT/RATHMAL BABY CREAM FOR SOOTHING SKIN ",370,"100ML ",PBT,,1735536842489-unilever sri lanka ltd-pears baby#3.png
202412,1,111681269,31201010003,1733912041894,13,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VENIVAL,"VENDOL VENIVEL/85/GM/CDB/TURMERIC, VENIVEL, MARGOSA, SANDALWOOD WITH ALOE VERA/SAVE RS. 30/=",120,"85GM ",CDB,,1735536842489-unilever sri lanka ltd-pears baby#3.png
202412,1,111681269,31201010003,1735109732127,43,LAKMEE EXPORTS,LAKMEE,LAKMEE/170/GM/PLPCH/MAYONNAISE,490,170GM,"PLPCH ",,1735536842489-unilever sri lanka ltd-pears baby#3.png
202412,1,111681269,31201010003,1735542952519,30,NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,"PANDA BABY/50/ML/PBT/HAPPY SMILES COLOGNE ",280,"50ML ",PBT,,1735542952519-nature-s beauty creations ltd-panda baby#3.png
202412,1,111681269,31201010003,1735124835395,30,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL &TURMERIC BABY CREAM ",500,"100ML ",PBT,,1735542952519-nature-s beauty creations ltd-panda baby#3.png
202412,1,111681269,31201010003,1735543908710,30,NATURE'S BEAUTY CREATIONS LTD,PANDA BABY,"PEARS/100/ML/CDB/BEDTIME BABY COLOGNE REFRESHED SKIN,  IRRESISTIBLE BABY FRAGRANCE/FREE/PEARS/50/ML/PBT/BEDTIME BABY CREAM WITH MOISTURE CREAM ",575,"100ML ",PBT,,1735543908710-nature-s beauty creations ltd-panda baby#3.png
202412,1,111681269,31201010003,1735628742851,13,SWADESHI INDUSTRIAL WORKS LTD,RANI,"RANI/65/GM/CDB/SANDALWOOD WITH LAVENDER ",100,"65GM ",CDB,,1735628742851-swadeshi industrial works ltd-rani#3.png
202412,1,134752933,22302010004,1735373645107,24,CEYLON AGRO INDUSTRIES,PRIMA KOTTUMEE,"PRIMA/114/GM/PLPCH/KOTTU MEE/KOREAN RAMEN/FIERY CHEESE/INSTANT NOODLES ",300,114 GM,PLPCH,,1735373645107-ceylon agro industries-prima kottumee#3.png
202412,1,110007833,81401010003,1735625652833,21,SOLA CHEMICAL CO (PVT) LTD,SOLA,"SOLA/500/ML/PLBOT/3 IN 1 LEMON & LIME FRESH TOILET CLEANER ",390,500ML,"PLBOT ",,1735625652833-sola chemical co -pvt- ltd-sola#3.png
202412,1,110007833,81401010003,1735628073412,6,SACHIE BISCUITS (PVT) LTD,SACHIE CHOCOLATE MARIE,"SACHIE/360/GM/PLPCH/CHOCOLATE MARIE BISCUITS ",300,360GM,"PLPCH ",,1735628073412-sachie biscuits -pvt- ltd-sachie chocolate marie#3.png
202412,1,110007833,81401010003,1735627934812,6,SACHIE BISCUITS (PVT) LTD,SACHIE MEGA MARIE,"SACHIE/360/GM/PLPCH/MEGA MARIE BISCUITS ",300,360GM,"PLPCH ",,1735627934812-sachie biscuits -pvt- ltd-sachie mega marie#3.png
202412,1,110007833,81401010003,1735627626579,43,CARGILLS AGRIFOODS LTD,KIST,"KIST/110/GM/PLPCH/TOMATO SAUCE BUDDY ",150,110GM,"PLPCH ",,1735627626579-cargills agrifoods ltd-kist#3.png
202412,1,41410681,23201010008,1734601587084,27,SMITH KLINE BEECHAM (PVT) LTD,SENSODYNE,SENSODYNE\75\GM\CDBOX\FRESH MINT WITH MINT FLOVOUR\SAVE RS 120,0,75GM,CDBOX,,1735627626579-cargills agrifoods ltd-kist#3.png
202412,1,41410681,23201010008,1734601880419,17,PUBUDU MILK PRODUCTS,PUBUDU,PUBUDU\500\GM\PLTUB\SET YOGHURT,0,500GM,PLTUB,,1735627626579-cargills agrifoods ltd-kist#3.png
202412,1,40063081,12103090002,1733808337738,25,HEMAS MARKETING,FEMS,FEMS DRYTEX BODY FIT 3X PROTECTION/1 NO,270,1 NO,PLPCH,,1735627626579-cargills agrifoods ltd-kist#3.png
202412,1,40063081,12103090002,1733808515633,25,HEMAS MARKETING,FEMS,FEMS COTTON FEEL WINGS BODY FIT 3X PROTECTION/1 NO,270,1 NO,PLPCH,,1735627626579-cargills agrifoods ltd-kist#3.png
202412,1,8166034,20635010001,1734234002588,11,FRESHVILLE SWEET (PVT) LTD,DELZIAS,DELZIAS/2.5/GM/PLBOT/MINI BALLS-01 NO,5,2.5GM,PLBOT,,1735627626579-cargills agrifoods ltd-kist#3.png
202412,1,8166034,20635010001,1735620980602,19,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/50/ML/PLBOT/RATHMAL BABY CREAM ",180,50ML,PLBOT,,1735620980602-unilever sri lanka ltd-pears baby#3.png
202412,1,8157780,43201010007,1734514170257,6,CEYLON BISCUITS LIMITED,"MUNCHEE. ",MUNCHEE  / 490 GM / PLPCH  / SUPER CREAM CRACKER  / SAVE 60,420," 490 GM ","PLPCH ",,1735620980602-unilever sri lanka ltd-pears baby#3.png
202412,1,8157780,43201010007,1734513715336,6,MALIBAN BISCUIT MANUFACTORIES,"MALIBAN ",MALIBAN  / 490 GM  / PLPCH  / CREAM CRACKER FAMILY PACK /SAVE 60/=,420,"490 GM  ","PLPCH ",,1735620980602-unilever sri lanka ltd-pears baby#3.png
202412,1,115372421,14169010001,1733812322527,19,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/50/ML/PLBOT/RATHMAL BABY CREAM FOR SOOTHING SKIN ",180,50ML,"PLBOT ",,1735620980602-unilever sri lanka ltd-pears baby#3.png
202412,1,125882396,61402010009,1735272881134,7,NETHMI CONFECTIONERY,SHEHARA,SHEHARA/CAKE/EMPORIUM/600 GM/CDBOX,1000,600 GM,CDBOX,,1735272881134-nethmi confectionery-shehara#3.png
202412,1,130510794,14029010004,1734950128682,10,PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CURRY CHICKEN FLAVOUR,100,"60GM ","PLPCH ",,1734950128682-prabodhi food products-prabodhi#3.png
202412,1,130510794,14029010004,1735192063791,13,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA,"CHANDANALEPA/75/GM/CDB/VENIVEL AYURVEDA SOAP ",220,"75GM ",CDB,,1735192063791-sanjeewaka ayurvedic products-chandanalepa#3.png
202412,1,130510794,14029010004,1734950068573,10,PRABODHI FOOD PRODUCTS,PRABODHI,PRABODHI/60/GM/PLPCH/CHICKEN FLAVOUR,100,"60GM ","PLPCH ",,1734950068573-prabodhi food products-prabodhi#3.png
202412,1,130510794,14029010004,1733986166435,16,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT/400(100G×4)/GM/EWREP/REAL LEMON POWER,420,400GM(100G×4),"EWREP ",,1734950068573-prabodhi food products-prabodhi#3.png
202412,1,130510794,14029010004,1735125367462,19,SANJEEWAKA AYURVEDIC PRODUCTS,CHANDANALEPA BABY,"CHANDANALEPA BABY/100/ML/PBT/MILK & HONEY CREAM/CHANDANALEPA BABY/70/GM/CDB/MILK & HONEY SOAP ",350,"100ML ",PBT,,1735125367462-sanjeewaka ayurvedic products-chandanalepa baby#3.png
202412,1,130510794,14029010004,1735109732127,43,LAKMEE EXPORTS,LAKMEE,LAKMEE/170/GM/PLPCH/MAYONNAISE,490,170GM,"PLPCH ",,1735109732127-lakmee exports-lakmee#3.png
202412,1,130510794,14029010004,1735124835395,30,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS/50/ML/PBT/VENIVEL &TURMERIC BABY CREAM ",500,"100ML ",PBT,,1735124835395-unilever sri lanka ltd-pears baby#3.png
