PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202411,1,64549267,19263010004,1732789783826,24,WIJAYA PRODUCTS (PVT) LTD,WIJAYA,WIJAYA/ INSTANT NOODLES/FAMILY PACK /375GM/PLPCH,375,375GM,PLPCH,Any other reason,1732789783826-wijaya products -pvt- ltd-wijaya#3.png
202411,1,111681269,31201010003,1731478120090,13,GODAKANDA HERBALS (PVT) LTD - (VENDOL LANKA),VENDOL VENIVAL,"VENDOL VENIVEL/85/GM/CDB/TURMERIC, VENIVEL, MARGOSA,SANDALWOOD WITH ALOE VERA/SAVE RS.30/=",120,85GM,CDB,,1732789783826-wijaya products -pvt- ltd-wijaya#3.png
202411,1,111681269,31201010003,1732950306528,9,MILCO (PVT) LTD,HIGHLAND,"HIGHLAND/400/GM/CDB/GOLD FULL CREAM ",1000,"400GM ",CDB,,1732950306528-milco -pvt- ltd-highland#3.png
202411,1,111681269,31201010003,1732944057573,19,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/100/ML/PBT/100% NATURAL EXTRACTS RATHMAL BABY CREAM FOR SOOTHING SKIN ",370,"100ML ",PBT,,1732944057573-unilever sri lanka ltd-pears baby#3.png
202411,1,111681269,31201010003,1732944181260,19,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/50/ML/PBT/100% NATURAL EXTRACTS KOKUM BABY CREAM FOR MOISTURISED SKIN ",180,"50ML ",PBT,,1732944181260-unilever sri lanka ltd-pears baby#3.png
202411,1,111681269,31201010003,1732434679153,30,UNILEVER SRI LANKA LTD,PEARS BABY,"PEARS/100/ML/PBT/FLOWER FAIRY BABY COLOGNE/FREE/PEARS BABY/50/ML/PBT/VENIVEL & TURMERIC BABY CREAM ",500,"100ML ",PBT,,1732944181260-unilever sri lanka ltd-pears baby#3.png
202411,1,111681269,31201010003,1731405306093,6,CEYLON BISCUITS LIMITED,MUNCHEE SNAP IT,MUNCHEE SNAP IT/125/GM/PLPCH/CRUNCHY CARAMALIZED,150,125GM,"PLPCH ",,1732944181260-unilever sri lanka ltd-pears baby#3.png
202411,1,111681269,31201010003,1732610528886,16,UNILEVER SRI LANKA LTD,SUNLIGHT,SUNLIGHT/200(100G×2)/GM/EWREP/REAL LEMON POWER,220,200GM(100G×2),"EWREP ",,1732944181260-unilever sri lanka ltd-pears baby#3.png
202411,1,111681269,31201010003,1732447719300,24,LAKMEE EXPORTS,LAKMEE,"LAKMEE/350/GM/PLPCH/INSTANT MAGIC MIX CHICKEN FLAVOURED/FREE/LAKMEE/75/GM/PLPCH/CHILLI & GARLIC SAUCE ",340,350GM,"PLPCH ",,1732944181260-unilever sri lanka ltd-pears baby#3.png
202411,1,111681269,31201010003,1732945038179,26,UNILEVER SRI LANKA LTD,SUNSILK,"SUNSILK/80/ML/PBT/LUSCIOUSLY THICK & LONG SHAMPOO WITH COCONUT OIL, YOGHURT PROTEIN,  KERATIN/FREE/LIFEBUOY/75/GM/EWREP/GLOWING SKIN SAKURA AND PINK CLAY",385,"80ML ",PBT,,1732945038179-unilever sri lanka ltd-sunsilk#3.png
