PERIOD,AUDITTYPE,STORECODE,DLRCODE,ITEMCODE,CATEGORY,MANUFACTURE,BRAND,ITEMDESC,MRP,PACKSIZE,PACKTYPE,COMMENTS,IMAGE
202503,1,130510794,14029010004,1742722704159,21,UNILEVER SRI LANKA LTD,VIM,VIM/400(100G×4)/GM/PLPCH/POWER OF 100 LIMS/BUY 4 GET 1 FREE,280,400GM(100G×4),PLPCH ,Any other reason,
202503,1,130510794,14029010004,1742980438077,13,UNILEVER SRI LANKA LTD,LIFEBUOY,LIFEBUOY/300(75G×4)/GM/EWREP/VENIVEL & OLIVE OIL FOR HEALTHY SKIN 4 PACK/FREE/LIFEBUOY/75/GM/EWREP/GLOWING SKIN SAKURA & PINK,370,300GM(75G×4),EWREP ,,1742980438077-unilever sri lanka ltd-lifebuoy#3.png
202503,1,130510794,14029010004,1742887238489,26,UNILEVER SRI LANKA LTD,DOVE,DOVE/180/ML/PBT/DAMAGE THERAPY INTENSE REPAIR BIO-PROTEIN CARE SHAMPOO/FREE/POND'S/50/ML/PBT/BRIGHT BEAUTY FACE WASH,750,180ML ,PBT,,1742887238489-unilever sri lanka ltd-dove#3.png
202503,1,130510794,14029010004,1742983765720,43,JANRICH FOODS LTD,MAYA,MAYA/1/KG/PLCAN/TOMATO SAUCE ,590,1KG,PLCAN,,1742983765720-janrich foods ltd-maya#3.png
202503,1,130510794,14029010004,1742888132588,19,UNILEVER SRI LANKA LTD,VASELINE,"VASELINE/200/ML/PBT/HEALTHY BRIGHT IN 2 WEEKS RESTORES VISIBLY BRIGHT SKIN SERUM IN LOTION/FREE/SUNSILK/40/ML/PBT/DAMAGE RESTORE WITH KING COCONUT OIL, KERATIN AND VITAMIN SHAMPOO ",900,200ML ,PBT,,1742888132588-unilever sri lanka ltd-vaseline#3.png
202503,1,130510794,14029010004,1742878860668,35,C.W. MACKIE PLC,DELISH,DELISH/50/GM/CDB/COCOA POWDER ,420,50GM ,CDB,,1742878860668-c-w- mackie plc-delish#3.png
202503,1,130510794,14029010004,1742983592753,43,JANRICH FOODS LTD,GOLDEN HARVEST,GOLDEN HARVEST/4.5/KG/PLCAN/TOMATO SAUCE ,2300,4.5GM,PLCAN,,1742983592753-janrich foods ltd-golden harvest#3.png
202503,1,130510794,14029010004,1742800874834,13,SWADESHI INDUSTRIAL WORKS LTD,RANI,RANI/140(70G×2)/GM/CDB/SANDALWOOD/BUY 2 SAVE RS.50/=,200,140GM(70G×2),CDB,Any other reason,1742800874834-swadeshi industrial works ltd-rani#3.png
202503,1,130510794,14029010004,1742879146233,35,C.W. MACKIE PLC,DELISH,DELISH/50/GM/PLCUP/BAKING POWDER ,180,50GM ,PLCUP ,,1742879146233-c-w- mackie plc-delish#3.png
202503,1,130510794,14029010004,1742879435460,28,NEW DIAMOND LANKA (PVT)LTD,DIAMOND,DIAMOND/250/GM/PLCUP/GORAKA PASTE,175,250GM,PLCUP ,,1742879435460-new diamond lanka -pvt-ltd-diamond#3.png
